"id","input_text","true_label","true_label_text","predicted_label","predicted_label_text"
"21_essay_tosanikki_20160903","やがて月の距離が現在の約１．５倍、公転・自転の周期が約４０日になったところで変化が止まると考えられています。","2","時間","2","時間"
"88_fiction_SAINT-EXUPERY-1943","僕の住んでいるところでは、なんでもみんな小さいんだよ。","3","場所","3","場所"
"80_diet_kaigiroku-12","演説が終わりましたところで、動議により、国務大臣の演説に対する質疑は延期し、来る三十日に行うことを決定していただきます。","2","時間","2","時間"
"35_aozora_Hisao-1939","なかなか、二人の娘のひきたて役ぐらいのところではなかろうとおもわれる。","4","その他","0","逆接・譲歩"
"162_fiction_munashisanoshotai","しかもそれを聞いたところで全く疑念は解消されない。","0","逆接・譲歩","0","逆接・譲歩"
"129_textbook_djg_advanced;page_142","この問題をいまさら議論したところで無意味でしょう。","0","逆接・譲歩","0","逆接・譲歩"
"59_aozora_Kishida-1950","これを即興というのだが、この即興のできる訓練は劇をやるうえに大切で、人間である以上、どんなにおぼえたつもりでも忘れることがあり、どんなに練習をしても、とっさに手違いができることもあるのだから、そこを、ただいいかげんにごまかすのではなく、劇の面白さをへらさぬように、そくざの機転で、たくみに補うことは、これまた、劇の劇らしいところである。","4","その他","4","その他"
"106_aozora_Hisao-1939","三十を三つも越しているのに、なにをするでもなくのらくらとこんなところで日を送っている。","3","場所","3","場所"
"14_essay_tosanikki_20170401","タヒチでは、ゴーギャンの有名な「我々はどこから来たのか、我々は何者か、我々はどこへ行くのか」の複製画とともに、この題名をいろいろなところで目にしました。","3","場所","3","場所"
"22_essay_tosanikki_20190202","私の目には、晩年をオリオン座で過ごそうと旅してきたように見えますが、もしさらに１００万年長生きしたとすると、オリオン座を通り過ぎたところで漂泊の人生を終わることになります。","3","場所","2","時間"
"53_essay_Hepburn_no_shoogai_to_nihongo2","幕府は安政年間、条約国に対して「既に踏絵の制度は廃せり」と声明を出していたが、ヘボンが肥後出身者から聞いたところでは、その後も九州で実施されていた。","4","その他","0","逆接・譲歩"
"10_essay_crossover27_IharaOct2015","前回、ダ・ヴィンチの交通機関体系の創造に触れたのも、船舶活用の可能性から水上交通を基軸にしつつも、陸上、空中へのデザインを展開したモーティブフォースが大航海にあったのではないかと推測したからです。","0","逆接・譲歩","1","同時進行"
"146_wikipedia_KYOTO_12;CLT_00005;218","ゆっくりと慎重に音程を変更するところから、具合を測りつつ物事を進めるさまを表す。","0","逆接・譲歩","1","同時進行"
"480_textbook_djg_intermediate;page_543","たばこは体によくないと分かりつつなかなかやめられない。","0","逆接・譲歩","0","逆接・譲歩"
"782_whitepaper_shohi4_2018","食育基本法（平成17年法律第63号）及び「第３次食育推進基本計画」（2016年３月食育推進会議決定）に基づき、関係府省等が連携しつつ、家庭、学校、地域等において国民運動として食育を推進しています。","1","同時進行","1","同時進行"
"812_whitepaper_shohi4_2018","経済産業省では、2016年度、学識経験者、有識者、事業者、消費者団体、マスコミなど、幅広い関係者を構成員とし、2030年頃の消費経済市場を見据えつつ、消費者意識の変化、より一層の消費者理解やそれに伴う企業経営の在り方、消費者起点のイノベーション等について検討を行う「消費インテリジェンス研究会」を年度内に５回開催し、2017年３月に報告書を取りまとめました。","1","同時進行","1","同時進行"
"57_whitepaper_shohi4_2018","消費者庁では、関係機関と連携しつつ、特定商取引法の表示義務に違反しているおそれのある危険ドラッグの通信販売サイトに対し、適切な措置を講ずるとともに、関係機関に対する情報提供を行い、消費者保護を十分に確保するよう努めています。","1","同時進行","1","同時進行"
"27_news_KAHOKU_184;K201406140A0T10XX00001","東北大大学院工学研究科の風間基樹教授（地盤工学・地震工学）は「行政が作る防災マップを参考にしつつも、普段から地域の地形的特性を把握して、非常時の対策を考える必要がある」と指摘する。","1","同時進行","1","同時進行"
"312_whitepaper_H28_kotsuanzen1","ア地域住民等の意見要望等を十分に踏まえつつ，駐車規制の点検・見直しを実施するとともに，物流の必要性や自動二輪車の駐車需要等にも配慮し，地域の交通実態等に応じた規制の緩和を行うなど，きめ細かな駐車規制を推進した。","1","同時進行","1","同時進行"
"278_whitepaper_R1_gaiko_2","安定的に党・政権を運営するためには、一定の経済成長を確保しつつ国内外の各種課題に対応する必要があり、今後の経済財政政策の動向が注目される。","1","同時進行","1","同時進行"
"122_whitepaper_R2_bousai_5","このような状況に鑑み、関係自治体の要望等も踏まえつつ、この問題の終局的な解決策が検討され、与野党調整の結果、以下の7点を柱として議員立法により災害弔慰金法が改正された（令和元年6月7日公布、8月1日施行）。","1","同時進行","1","同時進行"
