,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_content_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_content_words_to_dummy,同時進行,0.7070063694267515,1.0,0.8283582089552238,0.8283582089552238
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.36363636363636365,1.0,0.5333333333333333,0.5333333333333333
4,convert_content_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_content_words_to_dummy,逆接・譲歩,0.7,0.34146341463414637,0.45901639344262296,0.45901639344262296
1,convert_content_words_to_dummy,同時進行,0.8029197080291971,0.990990990990991,0.8870967741935484,0.8870967741935484
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_content_words_to_dummy,その他,0.8333333333333334,0.5,0.625,0.625
0,convert_content_words_to_dummy,逆接・譲歩,0.7692307692307693,0.24390243902439024,0.37037037037037035,0.37037037037037035
1,convert_content_words_to_dummy,同時進行,0.7785714285714286,0.9819819819819819,0.8685258964143426,0.8685258964143426
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.36363636363636365,1.0,0.5333333333333333,0.5333333333333333
4,convert_content_words_to_dummy,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,convert_content_words_to_dummy,逆接・譲歩,0.7368421052631579,0.34146341463414637,0.4666666666666667,0.4666666666666667
1,convert_content_words_to_dummy,同時進行,0.8059701492537313,0.972972972972973,0.8816326530612245,0.8816326530612245
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_content_words_to_dummy,その他,0.5454545454545454,0.6,0.5714285714285714,0.5714285714285714
0,convert_content_words_to_dummy,逆接・譲歩,0.7037037037037037,0.4634146341463415,0.5588235294117647,0.5588235294117647
1,convert_content_words_to_dummy,同時進行,0.8307692307692308,0.972972972972973,0.8962655601659751,0.8962655601659751
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_content_words_to_dummy,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,convert_content_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_content_words_to_dummy,同時進行,0.7956204379562044,0.9819819819819819,0.8790322580645161,0.8790322580645161
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.16666666666666666,1.0,0.2857142857142857,0.2857142857142857
4,convert_content_words_to_dummy,その他,0.42857142857142855,0.3,0.35294117647058826,0.35294117647058826
0,convert_content_words_to_dummy,逆接・譲歩,0.6,0.2926829268292683,0.39344262295081966,0.39344262295081966
1,convert_content_words_to_dummy,同時進行,0.7801418439716312,0.990990990990991,0.873015873015873,0.873015873015873
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_content_words_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_content_words_to_dummy,逆接・譲歩,0.5294117647058824,0.43902439024390244,0.48,0.48
1,convert_content_words_to_dummy,同時進行,0.824,0.9279279279279279,0.8728813559322034,0.8728813559322034
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_content_words_to_dummy,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,convert_content_words_to_dummy,逆接・譲歩,0.75,0.36585365853658536,0.4918032786885246,0.4918032786885246
1,convert_content_words_to_dummy,同時進行,0.8244274809160306,0.972972972972973,0.8925619834710744,0.8925619834710744
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.4,1.0,0.5714285714285714,0.5714285714285714
4,convert_content_words_to_dummy,その他,0.7142857142857143,0.5,0.5882352941176471,0.5882352941176471
0,convert_content_words_to_dummy,逆接・譲歩,0.5142857142857142,0.43902439024390244,0.47368421052631576,0.47368421052631576
1,convert_content_words_to_dummy,同時進行,0.8145161290322581,0.9099099099099099,0.8595744680851064,0.8595744680851064
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.25,0.25,0.25,0.25
4,convert_content_words_to_dummy,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
