"experiment_type","test/recall","test/acc","test/precision","test/f1"
"exclude_iru_aru_oku","0.6470588235294118","0.8148148148148148","0.5365853658536586","0.6470588235294118"
"convert_connectives_to_dummy","0.7397260273972602","0.84375","0.6585365853658537","0.7397260273972602"
"exclude_connectives","0.5573770491803278","0.85","0.4146341463414634","0.5573770491803278"
"convert_all_words_to_dummy","0.3380281690140845","0.4","0.2926829268292683","0.3380281690140845"
"convert_content_words_to_dummy","0.6","0.7241379310344828","0.5121951219512195","0.6"
"exclude_negation","0.6301369863013698","0.71875","0.5609756097560976","0.6301369863013698"
"exclude_ha_and_ga","0.6666666666666666","0.8214285714285714","0.5609756097560976","0.6666666666666666"
"exclude_particle","0.6133333333333333","0.6764705882352942","0.5609756097560976","0.6133333333333333"
"exclude_content_words","0.5675675675675675","0.6363636363636364","0.5121951219512195","0.5675675675675675"
"exclude_function_words","0.6153846153846154","0.6486486486486487","0.5853658536585366","0.6153846153846154"
"exclude_koso","0.7027027027027027","0.7878787878787878","0.6341463414634146","0.7027027027027027"
"exclude_mo","0.5970149253731343","0.7692307692307693","0.4878048780487805","0.5970149253731343"
"latter-only","0.5757575757575758","0.76","0.4634146341463415","0.5757575757575758"
"former-only","0.6","0.7241379310344828","0.5121951219512195","0.6"
"normal","0.6923076923076923","0.7297297297297297","0.6585365853658537","0.6923076923076923"
