experiment type,id,input_text,connective,true_label,true_label_text,predicted_label,predicted_label_text,is_correct,前件,接続表現,後件
exclude_iru_aru_oku,21_essay_tosanikki_20160903,やがて月の距離が現在の約１．５倍、公転・自転の周期が約４０日になったところで変化が止まると考えられてます。,ところ,2,時間,3,場所,False,やがて月の距離が現在の約１．５倍、公転・自転の周期が約４０日になった,ところ,で変化が止まると考えられています。
exclude_iru_aru_oku,88_fiction_SAINT-EXUPERY-1943,僕の住んでところでは、なんでもみんな小さいんだよ。,ところ,3,場所,3,場所,True,僕の住んでいる,ところ,では、なんでもみんな小さいんだよ。
exclude_iru_aru_oku,80_diet_kaigiroku-12,演説が終わりましたところで、動議により、国務大臣の演説に対する質疑は延期し、来る三十日に行うことを決定していただきます。,ところ,2,時間,2,時間,True,演説が終わりました,ところ,で、動議により、国務大臣の演説に対する質疑は延期し、来る三十日に行うことを決定していただきます。
exclude_iru_aru_oku,35_aozora_Hisao-1939,なかなか、二人の娘のひきたて役ぐらいのところではなかろうとおもわれる。,ところ,4,その他,2,時間,False,なかなか、二人の娘のひきたて役ぐらいの,ところ,ではなかろうとおもわれる。
exclude_iru_aru_oku,162_fiction_munashisanoshotai,しかもそれを聞いたところで全く疑念は解消されない。,ところ,0,逆接・譲歩,0,逆接・譲歩,True,しかもそれを聞いた,ところ,で全く疑念は解消されない。
exclude_iru_aru_oku,129_textbook_djg_advanced;page_142,この問題をいまさら議論したところで無意味でしょう。,ところ,0,逆接・譲歩,0,逆接・譲歩,True,この問題をいまさら議論した,ところ,で無意味でしょう。
exclude_iru_aru_oku,59_aozora_Kishida-1950,これを即興というのだが、この即興のできる訓練は劇をやるうえに大切で、人間で以上、どんなにおぼえたつもりでも忘れることが、どんなに練習をしても、とっさに手違いができることものだから、そこを、ただいいかげんにごまかすのではなく、劇の面白さをへらさぬように、そくざの機転で、たくみに補うことは、これまた、劇の劇らしいところで。,ところ,4,その他,4,その他,True,これを即興というのだが、この即興のできる訓練は劇をやるうえに大切で、人間である以上、どんなにおぼえたつもりでも忘れることがあり、どんなに練習をしても、とっさに手違いができることもあるのだから、そこを、ただいいかげんにごまかすのではなく、劇の面白さをへらさぬように、そくざの機転で、たくみに補うことは、これまた、劇の劇らしい,ところ,である。
exclude_iru_aru_oku,106_aozora_Hisao-1939,三十を三つも越してのに、なにをするでもなくのらくらとこんなところで日を送って。,ところ,3,場所,3,場所,True,三十を三つも越しているのに、なにをするでもなくのらくらとこんな,ところ,で日を送っている。
exclude_iru_aru_oku,14_essay_tosanikki_20170401,タヒチでは、ゴーギャンの有名な「我々はどこから来たのか、我々は何者か、我々はどこへ行くのか」の複製画とともに、この題名をいろいろなところで目にしました。,ところ,3,場所,3,場所,True,タヒチでは、ゴーギャンの有名な「我々はどこから来たのか、我々は何者か、我々はどこへ行くのか」の複製画とともに、この題名をいろいろな,ところ,で目にしました。
exclude_iru_aru_oku,22_essay_tosanikki_20190202,私の目には、晩年をオリオン座で過ごそうと旅してきたように見えますが、もしさらに１００万年長生きしたとすると、オリオン座を通り過ぎたところで漂泊の人生を終わることになります。,ところ,3,場所,3,場所,True,私の目には、晩年をオリオン座で過ごそうと旅してきたように見えますが、もしさらに１００万年長生きしたとすると、オリオン座を通り過ぎた,ところ,で漂泊の人生を終わることになります。
