,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_content_words_to_dummy,逆接・譲歩,0.68,0.4146341463414634,0.5151515151515151,0.5151515151515151
1,convert_content_words_to_dummy,同時進行,0.8045112781954887,0.963963963963964,0.8770491803278688,0.8770491803278688
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.3333333333333333,0.5,0.4,0.4
4,convert_content_words_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,convert_content_words_to_dummy,逆接・譲歩,0.631578947368421,0.5853658536585366,0.6075949367088608,0.6075949367088608
1,convert_content_words_to_dummy,同時進行,0.8524590163934426,0.9369369369369369,0.8927038626609443,0.8927038626609443
2,convert_content_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_content_words_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_content_words_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_content_words_to_dummy,逆接・譲歩,0.64,0.3902439024390244,0.48484848484848486,0.48484848484848486
1,convert_content_words_to_dummy,同時進行,0.8,0.9369369369369369,0.8630705394190872,0.8630705394190872
2,convert_content_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_content_words_to_dummy,場所,0.375,0.75,0.5,0.5
4,convert_content_words_to_dummy,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,convert_content_words_to_dummy,逆接・譲歩,0.625,0.36585365853658536,0.46153846153846156,0.46153846153846156
1,convert_content_words_to_dummy,同時進行,0.7923076923076923,0.9279279279279279,0.8547717842323651,0.8547717842323651
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,convert_content_words_to_dummy,その他,0.6666666666666666,0.4,0.5,0.5
0,convert_content_words_to_dummy,逆接・譲歩,0.6176470588235294,0.5121951219512195,0.56,0.56
1,convert_content_words_to_dummy,同時進行,0.8125,0.9369369369369369,0.8702928870292888,0.8702928870292888
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_content_words_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_content_words_to_dummy,逆接・譲歩,0.6923076923076923,0.43902439024390244,0.5373134328358209,0.5373134328358209
1,convert_content_words_to_dummy,同時進行,0.8106060606060606,0.963963963963964,0.8806584362139918,0.8806584362139918
2,convert_content_words_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_content_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_content_words_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_content_words_to_dummy,逆接・譲歩,0.782608695652174,0.43902439024390244,0.5625,0.5625
1,convert_content_words_to_dummy,同時進行,0.8088235294117647,0.990990990990991,0.8906882591093117,0.8906882591093117
2,convert_content_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_content_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_content_words_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_content_words_to_dummy,逆接・譲歩,0.5714285714285714,0.3902439024390244,0.463768115942029,0.463768115942029
1,convert_content_words_to_dummy,同時進行,0.7938931297709924,0.9369369369369369,0.859504132231405,0.859504132231405
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_content_words_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_content_words_to_dummy,逆接・譲歩,0.6111111111111112,0.5365853658536586,0.5714285714285714,0.5714285714285714
1,convert_content_words_to_dummy,同時進行,0.8174603174603174,0.9279279279279279,0.869198312236287,0.869198312236287
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_content_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_content_words_to_dummy,逆接・譲歩,0.6428571428571429,0.43902439024390244,0.5217391304347826,0.5217391304347826
1,convert_content_words_to_dummy,同時進行,0.803030303030303,0.954954954954955,0.8724279835390947,0.8724279835390947
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.25,0.25,0.25,0.25
4,convert_content_words_to_dummy,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
