,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_all_words_to_dummy,逆接・譲歩,0.6,0.07317073170731707,0.13043478260869565,0.13043478260869565
1,convert_all_words_to_dummy,同時進行,0.6809815950920245,1.0,0.8102189781021898,0.8102189781021898
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_all_words_to_dummy,同時進行,0.6646706586826348,1.0,0.7985611510791367,0.7985611510791367
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_all_words_to_dummy,同時進行,0.6607142857142857,1.0,0.7956989247311828,0.7956989247311828
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.4,0.04878048780487805,0.08695652173913043,0.08695652173913043
1,convert_all_words_to_dummy,同時進行,0.7171052631578947,0.9819819819819819,0.8288973384030418,0.8288973384030418
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,0.36363636363636365,0.4,0.38095238095238093,0.38095238095238093
0,convert_all_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_all_words_to_dummy,同時進行,0.6607142857142857,1.0,0.7956989247311828,0.7956989247311828
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_all_words_to_dummy,同時進行,0.6607142857142857,1.0,0.7956989247311828,0.7956989247311828
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.6666666666666666,0.04878048780487805,0.09090909090909091,0.09090909090909091
1,convert_all_words_to_dummy,同時進行,0.6727272727272727,1.0,0.8043478260869565,0.8043478260869565
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.3333333333333333,0.0975609756097561,0.1509433962264151,0.1509433962264151
1,convert_all_words_to_dummy,同時進行,0.6858974358974359,0.963963963963964,0.8014981273408239,0.8014981273408239
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_all_words_to_dummy,同時進行,0.6607142857142857,1.0,0.7956989247311828,0.7956989247311828
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.36363636363636365,0.1951219512195122,0.25396825396825395,0.25396825396825395
1,convert_all_words_to_dummy,同時進行,0.7412587412587412,0.954954954954955,0.8346456692913385,0.8346456692913385
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
