,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_function_words_to_dummy,逆接・譲歩,1.0,0.024390243902439025,0.047619047619047616,0.047619047619047616
1,convert_function_words_to_dummy,同時進行,0.6646706586826348,1.0,0.7985611510791367,0.7985611510791367
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,0.5333333333333333,0.3902439024390244,0.4507042253521127,0.4507042253521127
1,convert_function_words_to_dummy,同時進行,0.7867647058823529,0.963963963963964,0.8663967611336032,0.8663967611336032
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,1.0,0.25,0.4,0.4
4,convert_function_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_function_words_to_dummy,逆接・譲歩,0.6551724137931034,0.4634146341463415,0.5428571428571428,0.5428571428571428
1,convert_function_words_to_dummy,同時進行,0.8346456692913385,0.954954954954955,0.8907563025210085,0.8907563025210085
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_function_words_to_dummy,その他,0.16666666666666666,0.1,0.125,0.125
0,convert_function_words_to_dummy,逆接・譲歩,0.5555555555555556,0.36585365853658536,0.4411764705882353,0.4411764705882353
1,convert_function_words_to_dummy,同時進行,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.3333333333333333,1.0,0.5,0.5
4,convert_function_words_to_dummy,その他,0.2222222222222222,0.4,0.2857142857142857,0.2857142857142857
0,convert_function_words_to_dummy,逆接・譲歩,0.6216216216216216,0.5609756097560976,0.5897435897435898,0.5897435897435898
1,convert_function_words_to_dummy,同時進行,0.8372093023255814,0.972972972972973,0.9,0.9
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,,0.0,0.0,0.0
1,convert_function_words_to_dummy,同時進行,0.7006369426751592,0.990990990990991,0.8208955223880597,0.8208955223880597
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.36363636363636365,1.0,0.5333333333333333,0.5333333333333333
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,convert_function_words_to_dummy,同時進行,0.8217054263565892,0.954954954954955,0.8833333333333333,0.8833333333333333
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_function_words_to_dummy,その他,0.0,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,0.7058823529411765,0.5853658536585366,0.64,0.64
1,convert_function_words_to_dummy,同時進行,0.8320610687022901,0.9819819819819819,0.9008264462809917,0.9008264462809917
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_function_words_to_dummy,逆接・譲歩,0.6666666666666666,0.5853658536585366,0.6233766233766234,0.6233766233766234
1,convert_function_words_to_dummy,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.2,0.25,0.2222222222222222,0.2222222222222222
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,0.7,0.5121951219512195,0.5915492957746479,0.5915492957746479
1,convert_function_words_to_dummy,同時進行,0.828125,0.954954954954955,0.8870292887029289,0.8870292887029289
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.4,1.0,0.5714285714285714,0.5714285714285714
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
