,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_function_words_to_dummy,逆接・譲歩,0.6896551724137931,0.4878048780487805,0.5714285714285714,0.5714285714285714
1,convert_function_words_to_dummy,同時進行,0.84,0.9459459459459459,0.8898305084745762,0.8898305084745762
2,convert_function_words_to_dummy,時間,0.2,0.5,0.2857142857142857,0.2857142857142857
3,convert_function_words_to_dummy,場所,0.2,0.25,0.2222222222222222,0.2222222222222222
4,convert_function_words_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,convert_function_words_to_dummy,逆接・譲歩,0.56,0.34146341463414637,0.42424242424242425,0.42424242424242425
1,convert_function_words_to_dummy,同時進行,0.8091603053435115,0.954954954954955,0.8760330578512396,0.8760330578512396
2,convert_function_words_to_dummy,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,convert_function_words_to_dummy,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,0.4,0.2,0.26666666666666666,0.26666666666666666
0,convert_function_words_to_dummy,逆接・譲歩,0.7,0.34146341463414637,0.45901639344262296,0.45901639344262296
1,convert_function_words_to_dummy,同時進行,0.7941176470588235,0.972972972972973,0.8744939271255061,0.8744939271255061
2,convert_function_words_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_function_words_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_function_words_to_dummy,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
0,convert_function_words_to_dummy,逆接・譲歩,0.5862068965517241,0.4146341463414634,0.4857142857142857,0.4857142857142857
1,convert_function_words_to_dummy,同時進行,0.8217054263565892,0.954954954954955,0.8833333333333333,0.8833333333333333
2,convert_function_words_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_function_words_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,convert_function_words_to_dummy,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,convert_function_words_to_dummy,同時進行,0.8359375,0.963963963963964,0.895397489539749,0.895397489539749
2,convert_function_words_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_function_words_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,0.7083333333333334,0.4146341463414634,0.5230769230769231,0.5230769230769231
1,convert_function_words_to_dummy,同時進行,0.8346456692913385,0.954954954954955,0.8907563025210085,0.8907563025210085
2,convert_function_words_to_dummy,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,convert_function_words_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_function_words_to_dummy,その他,0.5555555555555556,0.5,0.5263157894736842,0.5263157894736842
0,convert_function_words_to_dummy,逆接・譲歩,0.5581395348837209,0.5853658536585366,0.5714285714285714,0.5714285714285714
1,convert_function_words_to_dummy,同時進行,0.85,0.918918918918919,0.8831168831168831,0.8831168831168831
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,1.0,0.25,0.4,0.4
4,convert_function_words_to_dummy,その他,0.25,0.1,0.14285714285714285,0.14285714285714285
0,convert_function_words_to_dummy,逆接・譲歩,0.68,0.4146341463414634,0.5151515151515151,0.5151515151515151
1,convert_function_words_to_dummy,同時進行,0.8076923076923077,0.9459459459459459,0.8713692946058091,0.8713692946058091
2,convert_function_words_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_function_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_function_words_to_dummy,その他,0.6,0.3,0.4,0.4
0,convert_function_words_to_dummy,逆接・譲歩,0.64,0.3902439024390244,0.48484848484848486,0.48484848484848486
1,convert_function_words_to_dummy,同時進行,0.7925925925925926,0.963963963963964,0.8699186991869918,0.8699186991869918
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.375,0.75,0.5,0.5
4,convert_function_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_function_words_to_dummy,逆接・譲歩,0.5714285714285714,0.5853658536585366,0.5783132530120482,0.5783132530120482
1,convert_function_words_to_dummy,同時進行,0.8761061946902655,0.8918918918918919,0.8839285714285714,0.8839285714285714
2,convert_function_words_to_dummy,時間,0.3333333333333333,1.0,0.5,0.5
3,convert_function_words_to_dummy,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,0.6,0.3,0.4,0.4
