normal,latter-only,former-only,exclude_particle,exclude_negation,exclude_mo,exclude_koso,exclude_iru_aru_oku,exclude_ha_and_ga,exclude_function_words,exclude_content_words,exclude_connectives,convert_content_words_to_dummy,convert_connectives_to_dummy,convert_all_words_to_dummy,id,前件,接続表現,後件
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,100_aozora_Mori-1912,主人はどっしりした体で、胡坐を掻いて、ちびりちびり酒を飲み,ながら,、小川の表情を、睫毛の動くのをも見遁がさないように見ている。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1029_aozora_Harada-1960,妹が慣れた手つきでベッドのふとんや枕を高く飛ばし,ながら,寝具の用意を整えるのが見えた。
True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,102_aozora_Hori-1969,そう云われ,ながら,、絶えずその暗くなった空を気になさっていた。
True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,106_aozora_Hisao-1939,三十を三つも越しているのに、なにをするでもなくのらくらとこんな,ところ,で日を送っている。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,106_news_KAHOKU_85,小中高生は、体ができる基礎となる時期なので、補助食品なども活用し,ながら,、バランスの取れた食事を心掛けてほしい」
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1074_aozora_Harada-1960,妹は泣き,ながら,はげしく手を振った。
True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,10_book_excerpt-19,六畳一間,ながら,一戸建てのあの借家は最初から今度こそは期待のもてそうな話だったが、その時も三村だけが紹介者の知人に連れられて見に行ったのだった。
True,True,False,False,True,False,True,True,True,False,True,False,True,True,True,10_essay_crossover27_IharaOct2015,前回、ダ・ヴィンチの交通機関体系の創造に触れたのも、船舶活用の可能性から水上交通を基軸にし,つつ,も、陸上、空中へのデザインを展開したモーティブフォースが大航海にあったのではないかと推測したからです。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1117_aozora_Harada-1960,ドアの鍵を廻し,ながら,、「とうとうこれで！」と、妹は叫んだ。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,112_aozora_Kaneko-1984,叔母はそのうちの一つの櫛を取って見まわし,ながら,いった。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,115_whitepaper_shohi4_2018,また、国民生活センターでは、人の生命・身体等に重大な影響を及ぼす商品や品質・表示等に問題のある商品について、消費者被害の救済や未然防止・拡大防止のために、消費者の使用実態を考慮し,つつ,科学的に信頼性の高い商品テストを実施しています。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,117_aozora_Miyamoto-1925,五十銭で買ってもらった釣竿を持ち、小さいなつめ形の顔の上に途方もなく大きい海水帽をかぶり――その鍔をフワフワ風に煽らせ,ながら,、勇壮に釣に出かける。
True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,11_aozora_Hayakawa-1983,登ることに決めてあり,ながら,寝坊をした惰性が、そのまま動作を鈍くしていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11_aozora_Hitomi-1929,しかし原稿の出来上って行くにつれてもうわたしはさっきまでのような元気も、若々しさもなくなってグラウンドのトラックを疾走し,ながら,世界記録を破るなんてことの出来ない人間になるのみではなかろうか、外国の競技場で邦人の歓呼をうけることももう出来なくなるんだと競技場に活躍する自分の姿を自分の目に浮かばせるのであった。
True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,121_aozora_Akutagawa-1921,遠藤はとうとうたまり兼ねて、火花の旋風に追われ,ながら,、転げるように外へ逃げ出しました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1225_aozora_Harada-1960,三人は座席にゆっくりともたれ,ながら,、未来の見込みをあれこれと相談し合った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,122_whitepaper_R2_bousai_5,このような状況に鑑み、関係自治体の要望等も踏まえ,つつ,、この問題の終局的な解決策が検討され、与野党調整の結果、以下の7点を柱として議員立法により災害弔慰金法が改正された（令和元年6月7日公布、8月1日施行）。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,124_aozora_Akutagawa-1922,彼は左に海を感じ,ながら,、急な坂路（さかみち）を駈（か）け登った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,127_fiction_mirai_e_no_okurimono,書架をぐるっと見渡し,ながら,、カフェコーナーに立ち寄った。
True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,129_textbook_djg_advanced;page_142,この問題をいまさら議論した,ところ,で無意味でしょう。
False,True,False,True,True,False,True,False,False,False,True,True,True,True,False,130_aozora_Oda-1976-2,女と関係し,ながら,、恋だけはもっと素晴しい女とするんだと夢を抱いて来たのだ。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,142_aozora_Yamakawa-1962-1,彼は、胸に湧きあがるものを、けんめいに冷静におさえつけ,ながら,思った。
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,146_wikipedia_KYOTO_12;CLT_00005;218,ゆっくりと慎重に音程を変更するところから、具合を測り,つつ,物事を進めるさまを表す。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,148_whitepaper_H28_kotsuanzen1,地域の協力を得,ながら,，通学路，生活道路，市街地の幹線道路等において，歩道を整備するなど，「人」の視点に立った交通安全対策を推進した。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,14_aozora_Miyazawa-1924,はじめの紳士は、すこし顔いろを悪くして、じっと、もひとりの紳士の、顔つきを見,ながら,云いました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,14_essay_tosanikki_20170401,タヒチでは、ゴーギャンの有名な「我々はどこから来たのか、我々は何者か、我々はどこへ行くのか」の複製画とともに、この題名をいろいろな,ところ,で目にしました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14_news_KAHOKU_34;K201404110A0T30XX00001,「避難所に愛犬を連れて行くか」などの災害時に想定される課題に対し、参加者は「ＹＥＳ」「ＮＯ」のカードで自らの考えを決めた後、意見を交わし,ながら,、より良い解決方法を探った。
True,False,False,False,True,False,True,True,True,False,True,False,False,True,False,150_aozora_Oda-1976-3,「芳ッちゃん、芳ッちゃんって、お安くいわないでよ」と、いわれ,ながら,、京吉はしかし、ねえ、たのむよ、と、だんだん甘えるような哀願的な声になっていた。
True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,15_essay_crossover28_Ihara2016,地球中心説では当然,ながら,惑星の横転周期という概念はありませんが、コペルニクスの理論では会合周期の観測によって太陽と地球の距離を1として、各惑星軌道半径が求められることになりました。
True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,15_wikipedia_Sendai_City,当地は、畿内に端を発する山道（後に東山道に再編）と海道（後に東海道に再編）とが合一する唯一の地であり、その合一した街道は後年、奥大道や東街道と名称を変え,ながら,も同断層帯およびそれに続く高舘丘陵の東縁に沿って南北に通る重要な道として存在し続けた。
True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,162_fiction_munashisanoshotai,しかもそれを聞いた,ところ,で全く疑念は解消されない。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,166_bible_nt;b.JOH.3.10,「あなたはイスラエルの教師であり,ながら,、これぐらいのことがわからないのか。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16_aozora_Chiri-1955-7,北見の美幌では、この“きのこ”を見つけると、熊を取った時のように、男は「フォー、フォー」と高らかにときの声をあげ,ながら,その廻りを踏舞し、女は「オノンノ、オノンノ」と歌いながら踊ったということであります。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17_news_KAHOKU_67;K201407100A0KI0XX00001,明け方、定宿の女将さんに起こされて雪景色を目にすると、土門は助手に背負われ,ながら,夢中でシャッターを切りました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,180_aozora_Yamakawa-1962-1,遠くなったその葬列との距離を縮めようというのか、子供たちは芋畑の中におどりこむと、歓声をあげ,ながら,駈けはじめた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,184_aozora_Miyazawa-1934,一郎が箒をもち,ながら,先生にききました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,185_fiction_munashisanoshotai,携帯を手に考え,ながら,、彼のベッドの上にぴったり寄り添って座っていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,188_aozora_Kobayashi-1929,「一寸云って置く」監督が土方の棒頭のように頑丈な身体で、片足を寝床の仕切りの上にかけて、楊子で口をモグモグさせ,ながら,、時々歯にはさまったものを、トットッと飛ばして、口を切った。
False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,191_wikipedia_Audrey_Hepburn,歌唱部分が全く別の声質を持つ他の女優に吹き替えられたことについて質問されたヘプバーンは、不快感を露にして「よくもそんなことを訊けるものですね。確かにレックスは演技をし,ながら,、同時に歌の録音もこなしていましたが･･････次の機会には」と応え、唇をかみ締めてそれ以上は何も口にすることはなかった。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,19_essay_manabi72_Kuroda2015summer,従って、イスラームの理念性を念頭に置き,つつ,も、ムスリムたちの歴史は大いに可変的で、事実、時代時代で否定しがたい変容をこうむってきたことに注目すべきだと思います。
True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,200_whitepaper_R1_gaiko_12,欧米で日本マンガやアニメ文化がまだ殆ど認識されていない当時、手塚先生はマンガの右開き形式や言葉の「壁」に触れ,ながら,も、アニメこそが「国際性に富んでいる素晴らしい親善大使」だと主張し、アニメで日本マンガの体質になじんだ人々は、マンガもきっと見るようになる、と考えていました。
