,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_ha_and_ga,逆接・譲歩,0.7352941176470589,0.6097560975609756,0.6666666666666666,0.6666666666666666
1,exclude_ha_and_ga,同時進行,0.8709677419354839,0.972972972972973,0.9191489361702128,0.9191489361702128
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.5,0.5,0.5,0.5
4,exclude_ha_and_ga,その他,1.0,0.6,0.75,0.75
0,exclude_ha_and_ga,逆接・譲歩,0.7096774193548387,0.5365853658536586,0.6111111111111112,0.6111111111111112
1,exclude_ha_and_ga,同時進行,0.8536585365853658,0.9459459459459459,0.8974358974358975,0.8974358974358975
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_ha_and_ga,逆接・譲歩,0.7333333333333333,0.5365853658536586,0.6197183098591549,0.6197183098591549
1,exclude_ha_and_ga,同時進行,0.8294573643410853,0.963963963963964,0.8916666666666667,0.8916666666666667
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.75,0.75,0.75,0.75
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.5675675675675675,0.5121951219512195,0.5384615384615384,0.5384615384615384
1,exclude_ha_and_ga,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,,0.0,0.0,0.0
4,exclude_ha_and_ga,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_ha_and_ga,逆接・譲歩,0.7096774193548387,0.5365853658536586,0.6111111111111112,0.6111111111111112
1,exclude_ha_and_ga,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.5,0.75,0.6,0.6
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,exclude_ha_and_ga,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.75,0.75,0.75,0.75
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.7532467532467533
1,exclude_ha_and_ga,同時進行,0.8991596638655462,0.963963963963964,0.9304347826086956,0.9304347826086956
2,exclude_ha_and_ga,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_ha_and_ga,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_ha_and_ga,その他,1.0,0.6,0.75,0.75
0,exclude_ha_and_ga,逆接・譲歩,0.6470588235294118,0.5365853658536586,0.5866666666666667,0.5866666666666667
1,exclude_ha_and_ga,同時進行,0.8346456692913385,0.954954954954955,0.8907563025210085,0.8907563025210085
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_ha_and_ga,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,exclude_ha_and_ga,逆接・譲歩,0.7419354838709677,0.5609756097560976,0.6388888888888888,0.6388888888888888
1,exclude_ha_and_ga,同時進行,0.856,0.963963963963964,0.9067796610169492,0.9067796610169492
2,exclude_ha_and_ga,時間,,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_ha_and_ga,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_ha_and_ga,逆接・譲歩,0.6666666666666666,0.6829268292682927,0.6746987951807228,0.6746987951807228
1,exclude_ha_and_ga,同時進行,0.8879310344827587,0.9279279279279279,0.9074889867841409,0.9074889867841409
2,exclude_ha_and_ga,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_ha_and_ga,場所,0.5,0.5,0.5,0.5
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
