,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.06666666666666667,-0.05729233979424564,0.19062567312757897
1,時間,test/precision,,,
2,時間,test/recall,0.05,-0.04296925484568424,0.14296925484568423
3,時間,test/f1,0.06666666666666667,-0.05729233979424564,0.19062567312757897
4,場所,test/acc,0.0,,
5,場所,test/precision,,,
6,場所,test/recall,0.0,,
7,場所,test/f1,0.0,,
8,逆接・譲歩,test/acc,0.2881935495589575,0.23261622737343035,0.3437708717444846
9,逆接・譲歩,test/precision,0.46547573627834654,0.39038910472539834,0.5405623678312947
10,逆接・譲歩,test/recall,0.23170731707317072,0.16642378363169158,0.29699085051464985
11,逆接・譲歩,test/f1,0.2881935495589575,0.23261622737343035,0.3437708717444846
12,同時進行,test/acc,0.8145334329142008,0.8082482661007624,0.8208185997276392
13,同時進行,test/precision,0.7236326171779802,0.7095287593508958,0.7377364750050647
14,同時進行,test/recall,0.9342342342342341,0.9087623453033103,0.9597061231651579
15,同時進行,test/f1,0.8145334329142008,0.8082482661007624,0.8208185997276392
16,その他,test/acc,0.14242424242424245,0.0981377232576241,0.1867107615908608
17,その他,test/precision,,,
18,その他,test/recall,0.07999999999999999,0.05520819870781753,0.10479180129218245
19,その他,test/f1,0.14242424242424245,0.0981377232576241,0.1867107615908608
